제목,링크,소관부처_지자체,pblanc_id,벡터스토어 저장
[대구] 남구 2025년 소상공인 경영안정자금 지원 사업 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112802,대구광역시,PBLN_000000000112802,True
[인천] 동구 영세 소상공인 경영회복지원금 신청기간 연장 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112773,인천광역시,PBLN_000000000112773,True
[울산] 2025년 제2차 소상공인 자금 특례보증 지원 사업 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112753,울산광역시,PBLN_000000000112753,True
[경기] 이천시 2025년 중소기업 동행지원 사업계획 변경 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112729,경기도,PBLN_000000000112729,True
[강원] 홍천군 2025년 사회보험료(10인 미만) 지원 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112723,강원특별자치도,PBLN_000000000112723,True
[강원] 홍천군 2025년 생계형 1인 자영업자 사회보험료 지원 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112722,강원특별자치도,PBLN_000000000112722,True
[강원] 정선군 2025년 소상공인 경영안정자금 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112709,강원특별자치도,PBLN_000000000112709,True
[경남] 경남중기청 중점지원사업 참여기업 대상 한국은행 경남본부 지방중소기업지원 프로그램 C2 신청 수정 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112691,중소벤처기업부,PBLN_000000000112691,True
2025년 소상공인 상생성장지원자금 시행 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112670,중소벤처기업부,PBLN_000000000112670,True
2025년 전력기자재 금융지원사업 모집 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112654,산업통상자원부,PBLN_000000000112654,True
2025년 국가첨단전략산업 소부장 중소ㆍ중견기업 투자지원금 사업시행 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112653,산업통상자원부,PBLN_000000000112653,True
Synergia Incheon(시너지아 인천) R&D 투자 프로젝트 참여기업 모집 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112576,인천광역시,PBLN_000000000112576,True
[경남] 진주시 2025년 하반기 중소기업육성기금 지원 계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112581,경상남도,PBLN_000000000112581,True
소상공인 비즈플러스카드 지원사업 시행 수정 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112539,중소벤처기업부,PBLN_000000000112539,True
2025년 온실가스 국제감축사업(투자지원) 변경 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112552,산업통상자원부,PBLN_000000000112552,True
[서울] 2025년 중소기업육성자금 융자지원계획 변경 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000112520,서울특별시,PBLN_000000000112520,True
